r,g,b,ordem,hex,completitionYear
219,125,92,87,#DB7D5C,1495
200,168,126,95,#C8A87E,1495
120,87,67,97,#785743,1495
151,129,106,99,#97816A,1495
76,55,44,104,#4C372C,1495
224,217,185,110,#E0D9B9,1495
175,179,179,113,#AFB3B3,1495
36,28,21,119,#241C15,1495
152,107,86,77,#986B56,1496
210,165,129,84,#D2A581,1496
193,145,113,94,#C19171,1496
180,129,103,94,#B48167,1496
167,118,94,96,#A7765E,1496
118,80,64,101,#765040,1496
135,94,75,102,#875E4B,1496
92,62,50,103,#5C3E32,1496
74,46,39,104,#4A2E27,1496
43,35,33,119,#2B2321,1496
255,250,212,1,#FFFAD4,1497
247,227,162,2,#F7E3A2,1497
210,149,86,88,#D29556,1497
222,183,120,95,#DEB778,1497
182,109,67,96,#B66D43,1497
126,95,71,97,#7E5F47,1497
165,143,109,99,#A58F6D,1497
86,64,51,103,#564033,1497
48,36,32,104,#302420,1497
185,192,170,113,#B9C0AA,1497
242,243,232,1,#F2F3E8,1500
180,125,93,94,#B47D5D,1500
216,182,130,95,#D8B682,1500
120,86,73,97,#785649,1500
147,144,138,100,#93908A,1500
78,58,56,104,#4E3A38,1500
233,218,181,110,#E9DAB5,1500
180,178,169,114,#B4B2A9,1500
118,113,107,116,#76716B,1500
39,29,26,119,#271D1A,1500
119,135,179,35,#7787B3,1501
197,131,81,94,#C58351,1501
145,123,105,99,#917B69,1501
186,162,140,100,#BAA28C,1501
113,63,46,101,#713F2E,1501
150,95,64,102,#965F40,1501
96,83,75,103,#60534B,1501
67,49,44,104,#43312C,1501
189,188,200,112,#BDBCC8,1501
32,26,27,119,#201A1B,1501
255,253,229,1,#FFFDE5,1504
245,231,194,2,#F5E7C2,1504
210,156,119,88,#D29C77,1504
211,192,162,95,#D3C0A2,1504
119,96,82,97,#776052,1504
151,122,99,99,#977A63,1504
170,150,129,100,#AA9681,1504
82,69,64,104,#524540,1504
179,194,243,111,#B3C2F3,1504
41,32,31,119,#29201F,1504
240,234,219,1,#F0EADB,1505
196,163,108,94,#C4A36C,1505
171,125,80,96,#AB7D50,1505
124,103,90,97,#7C675A,1505
137,79,38,102,#894F26,1505
78,61,50,104,#4E3D32,1505
144,141,140,107,#908D8C,1505
188,176,157,108,#BCB09D,1505
214,206,188,110,#D6CEBC,1505
32,23,21,119,#201715,1505
128,111,71,97,#806F47,1510
150,137,113,99,#968971,1510
91,75,42,103,#5B4B2A,1510
40,47,56,104,#282F38,1510
64,50,22,104,#403216,1510
182,169,146,108,#B6A992,1510
211,203,182,109,#D3CBB6,1510
85,84,100,117,#555464,1510
2,1,1,119,#020101,1510
26,25,15,119,#1A190F,1510
