r,g,b,ordem,hex,completitionYear
186,145,95,94,#BA915F,1919
148,103,51,102,#946733,1919
74,55,39,104,#4A3727,1919
128,132,130,107,#808482,1919
222,221,221,110,#DEDDDD,1919
176,174,165,114,#B0AEA5,1919
87,95,90,117,#575F5A,1919
25,21,17,119,#191511,1919
239,231,212,1,#EFE7D4,1920
191,96,54,18,#BF6036,1920
170,32,14,20,#AA200E,1920
224,195,166,83,#E0C3A6,1920
228,150,88,89,#E49658,1920
134,117,107,99,#86756B,1920
186,155,132,100,#BA9B84,1920
105,79,63,101,#694F3F,1920
82,34,23,104,#522217,1920
28,12,8,119,#1C0C08,1920
192,51,25,19,#C03319,1921
201,109,65,87,#C96D41,1921
210,156,118,88,#D29C76,1921
129,91,63,102,#815B3F,1921
109,43,20,103,#6D2B14,1921
58,62,61,104,#3A3E3D,1921
142,127,131,107,#8E7F83,1921
211,192,167,109,#D3C0A7,1921
238,223,206,110,#EEDFCE,1921
37,22,16,119,#251610,1921
245,236,218,1,#F5ECDA,1922
9,73,157,52,#09499D,1922
122,53,19,78,#7A3513,1922
231,202,169,83,#E7CAA9,1922
203,160,120,88,#CBA078,1922
185,119,53,93,#B97735,1922
135,125,105,99,#877D69,1922
96,84,65,103,#605441,1922
144,164,167,115,#90A4A7,1922
40,38,30,119,#28261E,1922
165,35,22,20,#A52316,1923
96,134,174,44,#6086AE,1923
110,105,81,75,#6E6951,1923
184,152,102,94,#B89866,1923
206,186,164,95,#CEBAA4,1923
163,102,60,96,#A3663C,1923
150,139,134,100,#968B86,1923
91,57,38,103,#5B3926,1923
229,227,211,110,#E5E3D3,1923
46,24,16,119,#2E1810,1923
63,125,178,44,#3F7DB2,1924
125,135,114,76,#7D8772,1924
164,77,30,78,#A44D1E,1924
187,140,69,93,#BB8C45,1924
205,178,139,95,#CDB28B,1924
96,45,17,103,#602D11,1924
63,84,69,104,#3F5445,1924
226,218,197,110,#E2DAC5,1924
157,174,192,113,#9DAEC0,1924
32,27,15,119,#201B0F,1924
202,44,22,17,#CA2C16,1925
17,125,189,48,#117DBD,1925
114,206,84,65,#72CE54,1925
89,141,137,76,#598D89,1925
211,163,115,88,#D3A373,1925
199,132,64,93,#C78440,1925
95,87,73,103,#5F5749,1925
88,39,26,104,#58271A,1925
226,212,181,110,#E2D4B5,1925
30,13,10,119,#1E0D0A,1925
125,160,184,45,#7DA0B8,1926
174,145,111,94,#AE916F,1926
201,177,146,95,#C9B192,1926
142,118,90,99,#8E765A,1926
107,86,69,101,#6B5645,1926
155,90,30,102,#9B5A1E,1926
72,50,34,104,#483222,1926
236,225,210,110,#ECE1D2,1926
225,207,175,110,#E1CFAF,1926
24,15,10,119,#180F0A,1926
239,235,220,1,#EFEBDC,1927
233,129,24,10,#E98118,1927
187,36,21,19,#BB2415,1927
239,212,102,91,#EFD466,1927
115,104,87,97,#736857,1927
154,140,108,99,#9A8C6C,1927
63,56,43,104,#3F382B,1927
181,176,160,108,#B5B0A0,1927
214,211,193,110,#D6D3C1,1927
10,9,9,119,#0A0909,1927
240,234,217,1,#F0EAD9,1928
202,16,10,17,#CA100A,1928
68,125,143,41,#447D8F,1928
204,164,110,88,#CCA46E,1928
206,130,34,93,#CE8222,1928
125,115,90,97,#7D735A,1928
71,67,52,104,#474334,1928
207,198,171,109,#CFC6AB,1928
148,163,145,115,#94A391,1928
39,32,22,119,#272016,1928
194,31,9,19,#C21F09,1929
145,174,197,46,#91AEC5,1929
88,96,75,72,#58604B,1929
209,141,53,93,#D18D35,1929
200,183,151,95,#C8B797,1929
151,143,119,99,#978F77,1929
161,88,33,102,#A15821,1929
221,223,214,110,#DDDFD6,1929
83,130,140,116,#53828C,1929
50,38,26,119,#32261A,1929
214,26,20,17,#D61A14,1930
33,133,180,42,#2185B4,1930
128,67,31,78,#80431F,1930
213,123,36,93,#D57B24,1930
168,119,65,96,#A87741,1930
86,71,69,103,#564745,1930
55,35,27,104,#37231B,1930
233,222,207,110,#E9DECF,1930
187,180,162,114,#BBB4A2,1930
111,116,104,116,#6F7468,1930
224,184,21,8,#E0B815,1931
190,77,27,18,#BE4D1B,1931
89,146,155,44,#59929B,1931
231,202,119,90,#E7CA77,1931
105,93,76,98,#695D4C,1931
148,142,120,99,#948E78,1931
69,51,33,104,#453321,1931
192,185,182,109,#C0B9B6,1931
231,227,219,110,#E7E3DB,1931
22,11,10,119,#160B0A,1931
209,29,19,17,#D11D13,1932
83,108,136,41,#536C88,1932
112,109,81,75,#706D51,1932
125,49,35,78,#7D3123,1932
217,157,32,93,#D99D20,1932
196,184,155,95,#C4B89B,1932
152,144,125,99,#98907D,1932
55,71,49,104,#374731,1932
222,216,206,110,#DED8CE,1932
27,18,17,119,#1B1211,1932
244,244,244,0,#F4F4F4,1933
206,24,13,17,#CE180D,1933
194,142,88,94,#C28E58,1933
132,81,42,102,#84512A,1933
62,60,59,104,#3E3C3B,1933
85,95,100,106,#555F64,1933
132,132,134,107,#848486,1933
210,208,206,110,#D2D0CE,1933
174,171,167,114,#AEABA7,1933
29,21,19,119,#1D1513,1933
236,236,229,1,#ECECE5,1934
169,40,15,20,#A9280F,1934
63,95,136,41,#3F5F88,1934
103,103,76,75,#67674C,1934
208,167,133,84,#D0A785,1934
208,148,33,93,#D09421,1934
148,145,141,100,#94918D,1934
